140.124.72.231 - - [23/Dec/2019:11:48:02 +0800] "GET /login_demo/assets/images/random-avatar7.jpg HTTP/1.1" 200 6882
140.124.72.231 - - [23/Dec/2019:11:48:02 +0800] "GET /login_demo/assets/images/magnifier.svg HTTP/1.1" 200 621
140.124.72.231 - - [23/Dec/2019:11:48:02 +0800] "GET /login_demo/assets/fonts/Material-Design-Iconic-Font.woff2?v=2.2.0 HTTP/1.1" 200 38384
140.124.72.231 - - [23/Dec/2019:11:48:02 +0800] "GET /login_demo/favicon.ico HTTP/1.1" 200 1150
140.124.72.231 - - [23/Dec/2019:11:48:13 +0800] "GET /login_demo HTTP/1.1" 302 -
140.124.72.231 - - [23/Dec/2019:11:48:13 +0800] "GET /login_demo/ HTTP/1.1" 200 19215
140.124.72.231 - - [23/Dec/2019:11:48:13 +0800] "GET /login_demo/css/bootstrap.min.css HTTP/1.1" 200 140421
140.124.72.231 - - [23/Dec/2019:11:48:13 +0800] "GET /login_demo/css/style.css HTTP/1.1" 200 14584
140.124.72.231 - - [23/Dec/2019:11:48:13 +0800] "GET /login_demo/css/pogo-slider.min.css HTTP/1.1" 200 34179
140.124.72.231 - - [23/Dec/2019:11:48:13 +0800] "GET /login_demo/css/responsive.css HTTP/1.1" 200 1263
140.124.72.231 - - [23/Dec/2019:11:48:13 +0800] "GET /login_demo/css/custom.css HTTP/1.1" 200 36
140.124.72.231 - - [23/Dec/2019:11:48:13 +0800] "GET /login_demo/images/icon.png HTTP/1.1" 200 5385
140.124.72.231 - - [23/Dec/2019:11:48:13 +0800] "GET /login_demo/images/health.jpg HTTP/1.1" 200 153141
140.124.72.231 - - [23/Dec/2019:11:48:13 +0800] "GET /login_demo/css/animate.css HTTP/1.1" 200 56693
140.124.72.231 - - [23/Dec/2019:11:48:13 +0800] "GET /login_demo/css/font-awesome.min.css HTTP/1.1" 200 29063
140.124.72.231 - - [23/Dec/2019:11:48:13 +0800] "GET /login_demo/css/magnific-popup.css HTTP/1.1" 200 7782
140.124.72.231 - - [23/Dec/2019:11:48:13 +0800] "GET /login_demo/js/jquery.min.js HTTP/1.1" 200 86927
